TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz
635670246157875763,1.68236,0.221803,4.95241,1.62016,0.000105833,-1.81082,0.469484,-0.0822588
635670246158996543,1.67965,0.227919,4.95268,0.0450067,2.93984E-06,-1.81109,0.466165,-0.0832115
635670246160747778,1.67762,0.232506,4.95288,0.0253167,1.65362E-06,-1.81128,0.463677,-0.0839243
635670246161818528,1.88031,0.426716,5.88953,100.188,0.21788,-2.74794,0.392441,-0.0765275
635670246163595111,1.9009,0.511766,0.294069,43.3227,3.87644,2.84752,0.358802,-0.0303676
635670246164816092,1.88608,0.525495,0.405776,1.39461,0.00346241,2.73582,0.347711,-0.0166107
635670246166587208,1.78099,0.499176,5.34917,138.254,3.56683,-2.20758,0.262608,-0.0140732
635670246168506402,1.68619,0.511703,5.02128,11.3366,0.0272218,-1.87969,0.245015,-0.0217204
635670246169507005,1.66709,0.530702,4.96761,0.766754,0.000709539,-1.82602,0.240409,-0.0189709
635670246170618191,1.65671,0.55184,4.93765,0.573871,0.000213426,-1.79605,0.239224,-0.0141026
635670246172399385,1.64005,0.593346,4.91758,2.00154,0.000104053,-1.77599,0.23327,-0.00885412
635670246173570618,1.63771,0.616474,4.91331,0.542826,1.77695E-05,-1.77172,0.239376,-0.00378372
635670246175401919,1.63271,0.641859,4.90758,0.66991,2.21855E-05,-1.76599,0.246956,-0.00295187
635670246176402645,1.62797,0.655446,4.9069,0.208403,1.15772E-07,-1.76531,0.246858,-0.0026458
635670246178113837,1.62877,0.691369,4.8999,1.29176,0.000412642,-1.7583,0.209993,0.014595
635670246179314707,1.63104,0.703098,4.89955,0.14275,1.35095E-05,-1.75796,0.203138,0.0172975
635670246180995868,1.63535,0.723853,4.89595,0.44936,2.89972E-05,-1.75436,0.213266,0.0190395
635670246182166685,1.63922,0.734182,4.89697,0.121609,5.47179E-06,-1.75538,0.211255,0.0229314
635670246183877892,1.65033,0.751832,4.89969,0.438892,1.82329E-05,-1.7581,0.205612,0.028199
635670246185138801,1.65124,0.758305,4.89598,0.0432591,2.21498E-05,-1.75438,0.196949,0.0294941
635670246186910039,1.65715,0.770636,4.89611,0.187019,2.82298E-05,-1.75452,0.187642,0.0345963
635670246187910859,1.65989,0.775179,4.89711,0.0281561,3.24845E-06,-1.75552,0.185159,0.0368324
635670246189762060,1.66397,0.783165,4.89778,0.0804716,1.27969E-05,-1.75619,0.178305,0.0386547
635670246190932866,1.66532,0.786023,4.89787,0.0100277,2.00457E-06,-1.75627,0.175499,0.0390067
635670246192664118,1.66802,0.792306,4.89391,0.0467723,4.91136E-06,-1.75231,0.173649,0.0386875
635670246194525426,1.66954,0.795947,4.8909,0.0155653,2.41363E-06,-1.74931,0.173316,0.0383149
635670246195746278,1.67096,0.800083,4.89377,0.020885,8.38925E-06,-1.75217,0.17827,0.0367823
635670246197407436,1.67418,0.804933,4.89688,0.0338892,1.59051E-05,-1.75529,0.185253,0.0385565
635670246199218805,1.67524,0.80667,4.89756,0.00414703,2.71869E-06,-1.75597,0.188044,0.0400544
635670246200279622,1.6752,0.807125,4.89822,0.000284182,6.33971E-07,-1.75663,0.189014,0.0410132
635670246202070956,1.67497,0.807056,4.89885,0.000130701,6.9163E-07,-1.75726,0.187578,0.0414631
635670246203241557,1.67487,0.806907,4.899,3.73211E-05,2.3609E-07,-1.75741,0.186617,0.0414487
635670246204993080,1.67301,0.804894,4.89723,0.00777459,8.59899E-06,-1.75564,0.184067,0.036788
635670246206203974,1.6727,0.804558,4.89694,0.000216359,2.38872E-07,-1.75534,0.183643,0.036011
635670246208025231,1.67223,0.804565,4.89689,0.000261318,5.15275E-07,-1.75529,0.183603,0.0374545
635670246209156028,1.67147,0.804018,4.89631,0.000919494,2.86728E-07,-1.75471,0.18308,0.0368199
635670246210907255,1.67099,0.8043,4.89978,0.00123449,7.54572E-06,-1.75818,0.185879,0.0394548
635670246212798632,1.67217,0.805675,4.90104,0.00336273,2.9071E-06,-1.75945,0.186994,0.0421922
