TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz,Rx_Deg,Ry_Deg,Rz_Deg
6.3567E+17,1.85913,0.801052,5.59869,15.629,0.0492527,-2.4571,0.634623,-0.366633,-140.7814598,36.36121948,-21.00652353
6.3567E+17,1.80125,0.774512,5.35018,6.13056,0.0159832,-2.20858,0.740572,-0.3353,-126.5423127,42.43165003,-19.21127487
6.3567E+17,1.7536,0.750506,5.14369,3.39782,0.00899583,-2.0021,0.813971,-0.285291,-114.7118802,46.63710295,-16.34597023
6.3567E+17,1.74544,0.746229,5.10723,0.0936659,0.000250066,-1.96564,0.825404,-0.274463,-112.622876,47.29216559,-15.72557153
6.3567E+17,1.73929,0.742977,5.07947,0.0525422,0.000140662,-1.93788,0.833797,-0.265851,-111.0323452,47.77304907,-15.23214028
6.3567E+17,1.73826,0.742432,5.07481,0.0014575,3.91E-06,-1.93321,0.83518,-0.264375,-110.7647739,47.85228913,-15.14757171
6.3567E+17,1.73696,0.742912,5.09746,0.0226148,0.00067099,-1.95587,0.88407,-0.290228,-112.0630963,50.65347979,-16.6288395
6.3567E+17,1.73674,0.742992,5.10157,0.000632102,1.86E-05,-1.95997,0.89218,-0.294859,-112.298009,51.11814857,-16.89417625
6.3567E+17,1.7369,0.742487,5.10204,0.00142296,7.99E-06,-1.96044,0.896893,-0.298336,-112.324938,51.38818357,-17.09339368
6.3567E+17,1.73881,0.742699,5.10764,0.00411591,3.97E-06,-1.96605,0.89871,-0.303333,-112.6463673,51.49229001,-17.37970069
6.3567E+17,1.73914,0.742581,5.10883,0.000122502,2.43E-07,-1.96724,0.898138,-0.304569,-112.7145493,51.45951682,-17.45051827
6.3567E+17,1.73937,0.742646,5.10947,7.00E-05,8.89E-08,-1.96788,0.898581,-0.305096,-112.7512186,51.48489885,-17.48071315
6.3567E+17,1.73877,0.742665,5.10513,0.000451281,1.83E-06,-1.96354,0.898519,-0.301568,-112.5025549,51.48134651,-17.27857364
6.3567E+17,1.73862,0.74267,5.10405,2.82E-05,1.14E-07,-1.96246,0.898502,-0.300687,-112.4406755,51.48037248,-17.22809605
6.3567E+17,1.7386,0.742671,5.10387,7.83E-07,3.18E-09,-1.96227,0.898499,-0.30054,-112.4297893,51.4802006,-17.21967357
6.3567E+17,1.73858,0.742672,5.10373,4.40E-07,1.78E-09,-1.96214,0.898497,-0.30043,-112.4223408,51.48008601,-17.21337104
6.3567E+17,1.73858,0.742672,5.10371,1.22E-08,5.03E-11,-1.96212,0.898496,-0.300411,-112.4211949,51.48002871,-17.21228242
6.3567E+17,1.73857,0.742672,5.10369,6.88E-09,2.77E-11,-1.9621,0.898496,-0.300397,-112.420049,51.48002871,-17.21148028
